Title, Year, MinPlayers, MaxPlayers, SuggestedPlayers, SuggestedAge, PlayTime, AvgRating, GeekRating
"A Game of Thrones: The Board Game (Second Edition)", 2011, 3, 6, 6.0, 14.0, 240, 7.74364, 7.54679
"Arcadia Quest", 2014, 2, 4, 4.0, 9.0, 60, 8.01151, 7.54332
"Stone Age", 2008, 2, 4, 4.0, 10.0, 90, 7.63358, 7.53985
"Kemet", 2012, 2, 5, 5.0, 12.0, 120, 7.77518, 7.53787
"Alchemists", 2014, 2, 4, 4.0, 12.0, 120, 7.77131, 7.53391
"Legendary Encounters: An Alien Deck Building Game", 2014, 1, 5, 3.0, 14.0, 45, 7.87489, 7.52641
"Ora et Labora", 2011, 1, 4, 3.0, 12.0, 180, 7.78699, 7.5267
"The Gallerist", 2015, 1, 4, 4.0, 12.0, 150, 8.06767, 7.51952
"Nations", 2013, 1, 5, 3.0, 14.0, 200, 7.76497, 7.51607
"Suburbia", 2012, 1, 4, 3.0, 10.0, 90, 7.6508, 7.50932
"Commands & Colors: Ancients", 2006, 2, 2, 2.0, 12.0, 60, 7.79796, 7.50104
"Star Realms", 2014, 2, 2, 2.0, 8.0, 20, 7.64343, 7.49957
"Railways of the World", 2005, 2, 6, 5.0, 12.0, 120, 7.7042, 7.49095
"Paths of Glory", 1999, 2, 2, 2.0, 14.0, 480, 8.02691, 7.4897
"Forbidden Stars", 2015, 2, 4, 3.0, 14.0, 180, 8.07301, 7.48654
"Ticket to Ride: Europe", 2005, 2, 5, 4.0, 8.0, 60, 7.59257, 7.48285
"Chaos in the Old World", 2009, 3, 4, 4.0, 14.0, 120, 7.68405, 7.4804
"Combat Commander: Europe", 2006, 2, 2, 2.0, 12.0, 180, 7.92446, 7.47806
"Cosmic Encounter", 2008, 3, 5, 5.0, 12.0, 120, 7.60859, 7.46326
"Istanbul", 2014, 2, 5, 4.0, 10.0, 60, 7.63317, 7.46057
"Steam", 2009, 3, 5, 4.0, 12.0, 90, 7.68853, 7.46007
"Goa", 2004, 2, 4, 4.0, 12.0, 90, 7.64732, 7.45246
"Viticulture", 2013, 2, 6, 3.0, 12.0, 90, 7.78219, 7.44807
"Splendor", 2014, 2, 4, 3.0, 8.0, 30, 7.54763, 7.44183
"The Lord of the Rings: The Card Game", 2011, 1, 2, 2.0, 12.0, 60, 7.64699, 7.43848
"The Princes of Florence", 2000, 2, 5, 5.0, 12.0, 100, 7.59644, 7.43564
"La Granja", 2014, 1, 4, 4.0, 12.0, 120, 7.8108, 7.43329
"Age of Steam", 2002, 1, 6, 4.0, 14.0, 120, 7.70144, 7.43161
"Hansa Teutonica", 2009, 2, 5, 5.0, 12.0, 90, 7.64158, 7.42719
"Mage Wars Arena", 2012, 2, 2, 2.0, 12.0, 90, 7.82584, 7.42497
"Jaipur", 2009, 2, 2, 2.0, 8.0, 30, 7.5447, 7.41996
"Village", 2011, 2, 4, 4.0, 12.0, 90, 7.56897, 7.41875
